銘柄	業種	評価	公開価格	ロックアップ	日付	始値	高値	安値	終値	前日比	前日比％	出来高	
はてな	(情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 各種Webｻｲﾄ	A	800	180日	2016-02-25	3025	3355	2355	2700	---	---	1528200	
はてな	(情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 各種Webｻｲﾄ	A	800	180日	2016-02-26	3200	3200	3165	3200	+500.0	+18.52%	428800	
はてな	(情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 各種Webｻｲﾄ	A	800	180日	2016-02-29	2790	3015	2523	2525	-675	-21.09%	2337600	
はてな	(情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 各種Webｻｲﾄ	A	800	180日	2016-03-01	2425	2498	2291	2357	-168	-6.65%	860300	
はてな	(情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 各種Webｻｲﾄ	A	800	180日	2016-03-02	2415	2430	2296	2320	-37	-1.57%	396000	
													
バリューゴルフ	（情報通信） 消費財･小売り> 外食･娯楽ｻｰﾋﾞｽ> 外食･娯楽ｻｰﾋﾞｽ> ｺﾞﾙﾌ場･施設	A	1280	90日	2016-03-03	3215	3400	2703	3355	---	---	817100	
バリューゴルフ	（情報通信） 消費財･小売り> 外食･娯楽ｻｰﾋﾞｽ> 外食･娯楽ｻｰﾋﾞｽ> ｺﾞﾙﾌ場･施設	A	1280	90日	2016-03-04	2853	3030	2678	2678	-677	-20.18%	611400	
バリューゴルフ	（情報通信） 消費財･小売り> 外食･娯楽ｻｰﾋﾞｽ> 外食･娯楽ｻｰﾋﾞｽ> ｺﾞﾙﾌ場･施設	A	1280	90日	2016-03-07	2578	2635	2411	2470	-208	-7.77%	192900	
バリューゴルフ	（情報通信） 消費財･小売り> 外食･娯楽ｻｰﾋﾞｽ> 外食･娯楽ｻｰﾋﾞｽ> ｺﾞﾙﾌ場･施設	A	1280	90日	2016-03-08	2510	2520	2343	2407	-63	-2.55%	65300	
バリューゴルフ	（情報通信） 消費財･小売り> 外食･娯楽ｻｰﾋﾞｽ> 外食･娯楽ｻｰﾋﾞｽ> ｺﾞﾙﾌ場･施設	A	1280	90日	2016-03-09	2357	2420	2151	2153	-254	-10.55%	123100	
													
ブラス	（サービス） 消費財･小売り> 他個人ｻｰﾋﾞｽ･製品> 他個人ｻｰﾋﾞｽ･製品> ﾌﾞﾗｲﾀﾞﾙ	A	2185	180日	2016-03-09	2325	2675	2100	2120	---	---	2448600	
ブラス	（サービス） 消費財･小売り> 他個人ｻｰﾋﾞｽ･製品> 他個人ｻｰﾋﾞｽ･製品> ﾌﾞﾗｲﾀﾞﾙ	A	2185	180日	2016-03-10	2155	2192.5	1905	1932.5	-187.5	-8.84%	504000	
ブラス	（サービス） 消費財･小売り> 他個人ｻｰﾋﾞｽ･製品> 他個人ｻｰﾋﾞｽ･製品> ﾌﾞﾗｲﾀﾞﾙ	A	2185	180日	2016-03-11	1865	1930	1747.5	1787.5	-145	-7.5%	247600	
ブラス	（サービス） 消費財･小売り> 他個人ｻｰﾋﾞｽ･製品> 他個人ｻｰﾋﾞｽ･製品> ﾌﾞﾗｲﾀﾞﾙ	A	2185	180日	2016-03-14	1820	1885	1730	1750	-37.5	-2.1%	175800	
ブラス	（サービス） 消費財･小売り> 他個人ｻｰﾋﾞｽ･製品> 他個人ｻｰﾋﾞｽ･製品> ﾌﾞﾗｲﾀﾞﾙ	A	2185	180日	2016-03-15	1727.5	1802.5	1700	1777.5	+27.5	+1.57%	107600	
													
ＰＲＴＩＭＥＳ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> PR･販売促進	A	1340	180日	2016-03-31	2130	2590	2050	2141	---	---	3828900	
ＰＲＴＩＭＥＳ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> PR･販売促進	A	1340	180日	2016-04-01	2300	2400	2106	2248	+107.0	+5.00%	1301500	
ＰＲＴＩＭＥＳ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> PR･販売促進	A	1340	180日	2016-04-04	2298	2379	2014	2119	-129	-5.74%	547400	
ＰＲＴＩＭＥＳ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> PR･販売促進	A	1340	180日	2016-04-05	1970	2000	1712	1751	-368	-17.37%	338400	
ＰＲＴＩＭＥＳ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> PR･販売促進	A	1340	180日	2016-04-06	1827	2151	1789	2151	+400.0	+22.84%	564400	
													
ハイアス・アンド・カンパニー	（サービス） 自動車･住宅> 住宅> 住宅建設> 住宅建設	A	950	180日	2016-04-06	2750	2829	2250	2250	---	---	964800	
ハイアス・アンド・カンパニー	（サービス） 自動車･住宅> 住宅> 住宅建設> 住宅建設	A	950	180日	2016-04-07	2100	2179	1830	1899	-351	-15.6%	938400	
ハイアス・アンド・カンパニー	（サービス） 自動車･住宅> 住宅> 住宅建設> 住宅建設	A	950	180日	2016-04-08	1939	2122	1848	1901	+2.0	+0.11%	905300	
ハイアス・アンド・カンパニー	（サービス） 自動車･住宅> 住宅> 住宅建設> 住宅建設	A	950	180日	2016-04-11	1892	1922	1684	1692	-209	-10.99%	331800	
ハイアス・アンド・カンパニー	（サービス） 自動車･住宅> 住宅> 住宅建設> 住宅建設	A	950	180日	2016-04-12	1666	1793	1652	1686	-6	-0.35%	232200	
													
グローバルウェイ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	S	2960	1.5倍	2016-04-20	14000	15400	13010	14300	---	---	255800	
グローバルウェイ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	S	2960	1.5倍	2016-04-21	14600	14990	11630	12620	-1680	-11.75%	205900	
グローバルウェイ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	S	2960	1.5倍	2016-04-22	12800	13740	12310	13340	+720.0	+5.71%	113900	
グローバルウェイ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	S	2960	1.5倍	2016-04-25	13800	16340	13130	16340	+3,000.0	+22.49%	260800	
グローバルウェイ	（情報通信） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	S	2960	1.5倍	2016-04-26	16740	20190	16500	19000	+2,660.0	+16.28%	951200	
													
ホープ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 広告	A	1400	1.5倍	2016-06-15	3220	3320	2520	2520	---	---	1135800	
ホープ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 広告	A	1400	1.5倍	2016-06-16	2370	2474	2029	2060	-460	-18.25%	1309400	
ホープ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 広告	A	1400	1.5倍	2016-06-17	2217	2500	2022	2180	+120.0	+5.83%	1573700	
ホープ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 広告	A	1400	1.5倍	2016-06-20	2180	2384	2024	2100	-80	-3.67%	741500	
ホープ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> 広告	A	1400	1.5倍	2016-06-21	2090	2279	2090	2144	+44.0	+2.10%	258700	
													
アトラエ	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	A	5400	1.5倍	2016-06-15	12720	14500	10800	11340	---	---	437200	
アトラエ	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	A	5400	1.5倍	2016-06-16	11760	13940	10000	13900	+2,560.0	+22.57%	2050800	
アトラエ	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	A	5400	1.5倍	2016-06-17	13300	14190	10900	10900	-3000	-21.58%	1279000	
アトラエ	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	A	5400	1.5倍	2016-06-20	10720	11560	10010	10010	-890	-8.17%	545000	
アトラエ	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 求人情報･人材紹介ｻｰﾋﾞｽ	A	5400	1.5倍	2016-06-21	10260	11840	10130	11000	+990.0	+9.89%	552900	
													
農業総合研究所	（卸売） 生活必需品･ﾍﾙｽｹｱ> 食品> 食品> 食品卸	A	1050	1.5倍	2016-06-16	1870	2270	1800	2270	---	---	662300	
農業総合研究所	（卸売） 生活必需品･ﾍﾙｽｹｱ> 食品> 食品> 食品卸	A	1050	1.5倍	2016-06-17	2770	2770	2770	2770	+500.0	+22.03%	10800	
農業総合研究所	（卸売） 生活必需品･ﾍﾙｽｹｱ> 食品> 食品> 食品卸	A	1050	1.5倍	2016-06-20	3090	3270	2805	3270	+500.0	+18.05%	2154100	
農業総合研究所	（卸売） 生活必需品･ﾍﾙｽｹｱ> 食品> 食品> 食品卸	A	1050	1.5倍	2016-06-21	3515	3970	3365	3970	+700.0	+21.41%	1355000	
農業総合研究所	（卸売） 生活必需品･ﾍﾙｽｹｱ> 食品> 食品> 食品卸	A	1050	1.5倍	2016-06-22	4670	4670	3610	4080	+110.0	+2.77%	1757100	
													
ＡＷＳホールディングス	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1250	180日	2016-06-22	4175	4645	3560	3800	---	---	731000	
ＡＷＳホールディングス	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1250	180日	2016-06-23	3705	4550	3690	4550	+750.0	+19.74%	1165000	
ＡＷＳホールディングス	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1250	180日	2016-06-24	5105	5300	4620	5300	+750.0	+16.48%	732200	
ＡＷＳホールディングス	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1250	180日	2016-06-27	5600	6035	4865	4950	-350	-6.6%	1478800	
ＡＷＳホールディングス	（情報通信） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1250	180日	2016-06-28	4760	4835	4200	4200	-750	-15.15%	761000	
													
ストライク	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 経営ｺﾝｻﾙ	A	1150	180日	2016-06-22	2590	2640	2103.3	2240	---	---	1421100	
ストライク	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 経営ｺﾝｻﾙ	A	1150	180日	2016-06-23	2140	2360	2030	2060	-180	-8.04%	1148700	
ストライク	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 経営ｺﾝｻﾙ	A	1150	180日	2016-06-24	2126.7	2300	1750	1890	-170	-8.25%	984900	
ストライク	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 経営ｺﾝｻﾙ	A	1150	180日	2016-06-27	1906.7	2223.3	1766.7	2103.3	+213.3	+11.29%	648300	
ストライク	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 経営ｺﾝｻﾙ	A	1150	180日	2016-06-28	2036.7	2283.3	1903.3	2146.7	+43.4	+2.06%	386700	
													
キャリア	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 人材派遣･請負	A	1950	180日	2016-06-27	3870	4150	3360	3430	---	---	1979700	
キャリア	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 人材派遣･請負	A	1950	180日	2016-06-28	3460	4130	3460	4130	+700.0	+20.41%	587700	
キャリア	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 人材派遣･請負	A	1950	180日	2016-06-29	4700	4830	4635	4830	+700.0	+16.95%	196100	
キャリア	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 人材派遣･請負	A	1950	180日	2016-06-30	5530	5530	4905	5350	+520.0	+10.77%	1955900	
キャリア	（サービス） 産業ｲﾝﾌﾗ･ｻｰﾋﾞｽ> 他産業ｻｰﾋﾞｽ･製品> 他産業ｻｰﾋﾞｽ･製品> 人材派遣･請負	A	1950	180日	2016-07-01	5240	6340	5010	6340	+990.0	+18.50%	3126400	
													
セラク	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1500	180日	2016-07-04	3900	4600	3850	4600	---	---	992100	
セラク	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1500	180日	2016-07-05	5300	5300	5300	5300	+700.0	+15.22%	16100	
セラク	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1500	180日	2016-07-06	6000	6300	5720	6300	+1,000.0	+18.87%	3459200	
セラク	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1500	180日	2016-07-07	6400	6840	5300	5360	-940	-14.92%	3516500	
セラク	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ｿﾌﾄｳｴｱ･情報技術> SI･ｿﾌﾄｳｴｱ開発> ｼｽﾃﾑ開発	A	1500	180日	2016-07-08	5460	5770	4415	4850	-510	-9.51%	2078000	
													
デファクトスタンダード	（小売） 消費財･小売り> 小売り> 他消費財小売り> 中古品小売り	A	1630	1.5倍	2016-08-31	2300	2380	1954	2110	---	---	3107300	
デファクトスタンダード	（小売） 消費財･小売り> 小売り> 他消費財小売り> 中古品小売り	A	1630	1.5倍	2016-09-01	2250	2280	1986	2000	-110	-5.21%	1349100	
デファクトスタンダード	（小売） 消費財･小売り> 小売り> 他消費財小売り> 中古品小売り	A	1630	1.5倍	2016-09-02	1950	2000	1845	1860	-140	-7%	456500	
デファクトスタンダード	（小売） 消費財･小売り> 小売り> 他消費財小売り> 中古品小売り	A	1630	1.5倍	2016-09-05	1841	1860	1722	1750	-110	-5.91%	394000	
デファクトスタンダード	（小売） 消費財･小売り> 小売り> 他消費財小売り> 中古品小売り	A	1630	1.5倍	2016-09-06	1710	1795	1670	1706	-44	-2.51%	332000	
													
カナミックネットワーク	（情報通信） 生活必需品･ﾍﾙｽｹｱ> ﾍﾙｽｹｱ･医薬> ﾍﾙｽｹｱ製品･ｻｰﾋﾞｽ> 医療･福祉関連ｼｽﾃﾑ開発	A	1500	90日	2016-09-15	4300	4550	3780	4045	---	---	1002200	
カナミックネットワーク	（情報通信） 生活必需品･ﾍﾙｽｹｱ> ﾍﾙｽｹｱ･医薬> ﾍﾙｽｹｱ製品･ｻｰﾋﾞｽ> 医療･福祉関連ｼｽﾃﾑ開発	A	1500	90日	2016-09-16	3940	4660	3365	4565	+520.0	+12.86%	2283000	
カナミックネットワーク	（情報通信） 生活必需品･ﾍﾙｽｹｱ> ﾍﾙｽｹｱ･医薬> ﾍﾙｽｹｱ製品･ｻｰﾋﾞｽ> 医療･福祉関連ｼｽﾃﾑ開発	A	1500	90日	2016-09-20	4435	4880	4210	4480	-85	-1.86%	2676800	
カナミックネットワーク	（情報通信） 生活必需品･ﾍﾙｽｹｱ> ﾍﾙｽｹｱ･医薬> ﾍﾙｽｹｱ製品･ｻｰﾋﾞｽ> 医療･福祉関連ｼｽﾃﾑ開発	A	1500	90日	2016-09-21	4625	4705	3730	3775	-705	-15.74%	1156000	
カナミックネットワーク	（情報通信） 生活必需品･ﾍﾙｽｹｱ> ﾍﾙｽｹｱ･医薬> ﾍﾙｽｹｱ製品･ｻｰﾋﾞｽ> 医療･福祉関連ｼｽﾃﾑ開発	A	1500	90日	2016-09-23	3700	3865	3565	3675	-100	-2.65%	327600	
													
デジタルアイデンティティ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> ﾈｯﾄ広告	A	1540	1.5倍	2016-09-14	2900	2986	2580	2880	---	---	1910600	
デジタルアイデンティティ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> ﾈｯﾄ広告	A	1540	1.5倍	2016-09-15	2680	2745	2407	2470	-410	-14.24%	858500	
デジタルアイデンティティ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> ﾈｯﾄ広告	A	1540	1.5倍	2016-09-16	2610	2780	2506	2570	+100.0	+4.05%	475800	
デジタルアイデンティティ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> ﾈｯﾄ広告	A	1540	1.5倍	2016-09-20	2760	3070	2751	3070	+500.0	+19.46%	229600	
デジタルアイデンティティ	（サービス） ｴﾚｸﾄﾛﾆｸｽ･情報通信> ﾒﾃﾞｨｱ> ﾒﾃﾞｨｱ> ﾈｯﾄ広告	A	1540	1.5倍	2016-09-21	3345	3535	2991	3000	-70	-2.28%	2320800	
													
